Test Size,Random State,Neighbors,Weight,Metric,Accuracy,Precision,Recall,Specificity
0.15,42,1,uniform,euclidean,0.68,0.7058823529411765,0.8,0.5
0.15,42,1,uniform,manhattan,0.72,0.7222222222222222,0.8666666666666667,0.5
0.15,42,1,distance,euclidean,0.68,0.7058823529411765,0.8,0.5
0.15,42,1,distance,manhattan,0.72,0.7222222222222222,0.8666666666666667,0.5
0.15,42,3,uniform,euclidean,0.72,0.7,0.9333333333333333,0.4
0.15,42,3,uniform,manhattan,0.68,0.6842105263157895,0.8666666666666667,0.4
0.15,42,3,distance,euclidean,0.72,0.7,0.9333333333333333,0.4
0.15,42,3,distance,manhattan,0.68,0.6842105263157895,0.8666666666666667,0.4
0.15,42,5,uniform,euclidean,0.52,0.5714285714285714,0.8,0.1
0.15,42,5,uniform,manhattan,0.56,0.6,0.8,0.2
0.15,42,5,distance,euclidean,0.52,0.5714285714285714,0.8,0.1
0.15,42,5,distance,manhattan,0.56,0.6,0.8,0.2
0.15,42,7,uniform,euclidean,0.64,0.6363636363636364,0.9333333333333333,0.2
0.15,42,7,uniform,manhattan,0.64,0.65,0.8666666666666667,0.3
0.15,42,7,distance,euclidean,0.64,0.6363636363636364,0.9333333333333333,0.2
0.15,42,7,distance,manhattan,0.64,0.65,0.8666666666666667,0.3
0.15,42,9,uniform,euclidean,0.64,0.6363636363636364,0.9333333333333333,0.2
0.15,42,9,uniform,manhattan,0.56,0.5909090909090909,0.8666666666666667,0.1
0.15,42,9,distance,euclidean,0.64,0.6363636363636364,0.9333333333333333,0.2
0.15,42,9,distance,manhattan,0.56,0.5909090909090909,0.8666666666666667,0.1
0.15,42,11,uniform,euclidean,0.6,0.6086956521739131,0.9333333333333333,0.1
0.15,42,11,uniform,manhattan,0.52,0.5652173913043478,0.8666666666666667,0.0
0.15,42,11,distance,euclidean,0.6,0.6086956521739131,0.9333333333333333,0.1
0.15,42,11,distance,manhattan,0.52,0.5652173913043478,0.8666666666666667,0.0
0.15,42,13,uniform,euclidean,0.6,0.6086956521739131,0.9333333333333333,0.1
0.15,42,13,uniform,manhattan,0.52,0.5652173913043478,0.8666666666666667,0.0
0.15,42,13,distance,euclidean,0.6,0.6086956521739131,0.9333333333333333,0.1
0.15,42,13,distance,manhattan,0.52,0.5652173913043478,0.8666666666666667,0.0
0.15,42,19,uniform,euclidean,0.56,0.5909090909090909,0.8666666666666667,0.1
0.15,42,19,uniform,manhattan,0.64,0.625,1.0,0.1
0.15,42,19,distance,euclidean,0.56,0.5909090909090909,0.8666666666666667,0.1
0.15,42,19,distance,manhattan,0.64,0.625,1.0,0.1
0.15,42,21,uniform,euclidean,0.6,0.6086956521739131,0.9333333333333333,0.1
0.15,42,21,uniform,manhattan,0.64,0.625,1.0,0.1
0.15,42,21,distance,euclidean,0.6,0.6086956521739131,0.9333333333333333,0.1
0.15,42,21,distance,manhattan,0.64,0.625,1.0,0.1
0.15,42,23,uniform,euclidean,0.64,0.6363636363636364,0.9333333333333333,0.2
0.15,42,23,uniform,manhattan,0.64,0.625,1.0,0.1
0.15,42,23,distance,euclidean,0.64,0.6363636363636364,0.9333333333333333,0.2
0.15,42,23,distance,manhattan,0.64,0.625,1.0,0.1
0.15,42,25,uniform,euclidean,0.64,0.6363636363636364,0.9333333333333333,0.2
0.15,42,25,uniform,manhattan,0.6,0.6,1.0,0.0
0.15,42,25,distance,euclidean,0.64,0.6363636363636364,0.9333333333333333,0.2
0.15,42,25,distance,manhattan,0.6,0.6,1.0,0.0
0.15,42,27,uniform,euclidean,0.68,0.6521739130434783,1.0,0.2
0.15,42,27,uniform,manhattan,0.6,0.6,1.0,0.0
0.15,42,27,distance,euclidean,0.64,0.6363636363636364,0.9333333333333333,0.2
0.15,42,27,distance,manhattan,0.6,0.6,1.0,0.0
0.15,42,29,uniform,euclidean,0.56,0.5833333333333334,0.9333333333333333,0.0
0.15,42,29,uniform,manhattan,0.6,0.6,1.0,0.0
0.15,42,29,distance,euclidean,0.56,0.5833333333333334,0.9333333333333333,0.0
0.15,42,29,distance,manhattan,0.6,0.6,1.0,0.0
0.15,42,31,uniform,euclidean,0.64,0.625,1.0,0.1
0.15,42,31,uniform,manhattan,0.6,0.6,1.0,0.0
0.15,42,31,distance,euclidean,0.6,0.6086956521739131,0.9333333333333333,0.1
0.15,42,31,distance,manhattan,0.6,0.6,1.0,0.0
0.15,42,33,uniform,euclidean,0.64,0.625,1.0,0.1
0.15,42,33,uniform,manhattan,0.6,0.6,1.0,0.0
0.15,42,33,distance,euclidean,0.6,0.6086956521739131,0.9333333333333333,0.1
