Accuracy,Precision,Recall,Specificity,Depth,Min_Samples_Split,Min_Samples_Leaf,Test_Size,Random_State
0.68,0.68,0.68,0.6,6,2,1,0.15,42
0.48,0.4033333333333334,0.48,0.09090909090909091,6,2,1,0.15,123
0.52,0.5532467532467532,0.52,0.4666666666666667,6,2,1,0.15,456
0.72,0.7329411764705881,0.72,0.5714285714285714,6,2,1,0.15,89
0.6363636363636364,0.6631016042780749,0.6363636363636364,0.6923076923076923,6,2,1,0.2,42
0.6060606060606061,0.5977961432506886,0.6060606060606061,0.42857142857142855,6,2,1,0.2,123
0.5151515151515151,0.6278787878787878,0.5151515151515151,0.3,6,2,1,0.2,456
0.7878787878787878,0.7828282828282829,0.7878787878787878,0.6,6,2,1,0.2,89
0.7619047619047619,0.7800453514739228,0.7619047619047619,0.8235294117647058,6,2,1,0.25,42
0.5952380952380952,0.5914606227106227,0.5952380952380952,0.47368421052631576,6,2,1,0.25,123
0.6428571428571429,0.6952380952380953,0.6428571428571429,0.5,6,2,1,0.25,456
0.7619047619047619,0.7925824175824174,0.7619047619047619,0.75,6,2,1,0.25,89
0.64,0.6373333333333333,0.64,0.5454545454545454,6,2,1,0.3,42
0.62,0.6220289855072463,0.62,0.5909090909090909,6,2,1,0.3,123
0.78,0.8079999999999999,0.78,0.6666666666666666,6,2,1,0.3,456
0.74,0.7353174603174604,0.74,0.5333333333333333,6,2,1,0.3,89
0.6551724137931034,0.6512670305773753,0.6551724137931034,0.52,6,2,1,0.35,42
0.5862068965517241,0.575124919606194,0.5862068965517241,0.36,6,2,1,0.35,123
0.603448275862069,0.6660772178013559,0.603448275862069,0.3333333333333333,6,2,1,0.35,456
0.7586206896551724,0.7678347061287171,0.7586206896551724,0.6470588235294118,6,2,1,0.35,89
0.7121212121212122,0.7079388424181143,0.7121212121212122,0.5769230769230769,6,2,1,0.4,42
0.5757575757575758,0.5593544137022398,0.5757575757575758,0.34615384615384615,6,2,1,0.4,123
0.5909090909090909,0.5982142857142858,0.5909090909090909,0.45454545454545453,6,2,1,0.4,456
0.6818181818181818,0.6773897994502697,0.6818181818181818,0.45,6,2,1,0.4,89
0.68,0.7583333333333333,0.68,0.9,6,2,2,0.15,42
0.4,0.40512820512820513,0.4,0.36363636363636365,6,2,2,0.15,123
0.52,0.5358974358974359,0.52,0.5333333333333333,6,2,2,0.15,456
0.64,0.6555882352941177,0.64,0.42857142857142855,6,2,2,0.15,89
0.696969696969697,0.7077441077441077,0.696969696969697,0.6923076923076923,6,2,2,0.2,42
0.5454545454545454,0.5498316498316499,0.5454545454545454,0.5,6,2,2,0.2,123
0.5151515151515151,0.5728715728715729,0.5151515151515151,0.4,6,2,2,0.2,456
0.6060606060606061,0.6392773892773893,0.6060606060606061,0.5,6,2,2,0.2,89
0.6904761904761905,0.6937830687830688,0.6904761904761905,0.6470588235294118,6,2,2,0.25,42
0.5952380952380952,0.5935846560846562,0.5952380952380952,0.5263157894736842,6,2,2,0.25,123
0.5952380952380952,0.626218487394958,0.5952380952380952,0.5,6,2,2,0.25,456
0.7619047619047619,0.8134920634920635,0.7619047619047619,0.8333333333333334,6,2,2,0.25,89
0.6,0.5966666666666667,0.6,0.5,6,2,2,0.3,42
0.62,0.616,0.62,0.4090909090909091,6,2,2,0.3,123
0.72,0.7385221674876847,0.72,0.6296296296296297,6,2,2,0.3,456
0.66,0.695,0.66,0.6,6,2,2,0.3,89
0.6379310344827587,0.634012539184953,0.6379310344827587,0.52,6,2,2,0.35,42
0.5689655172413793,0.5711206896551724,0.5689655172413793,0.52,6,2,2,0.35,123
0.5689655172413793,0.5937268094790482,0.5689655172413793,0.36666666666666664,6,2,2,0.35,456
0.7758620689655172,0.8508210180623974,0.7758620689655172,0.9411764705882353,6,2,2,0.35,89
0.6818181818181818,0.6748436748436749,0.6818181818181818,0.5,6,2,2,0.4,42
0.5454545454545454,0.5393217893217893,0.5454545454545454,0.38461538461538464,6,2,2,0.4,123
0.45454545454545453,0.45386766076421253,0.45454545454545453,0.3939393939393939,6,2,2,0.4,456
