Test Size,Random State,N_Neighbors,Accuracy,Precision,Recall
0.15,42,3,0.6714285714285715,0.6926406926406926,0.8509803921568627
0.15,42,5,0.6857142857142857,0.7008130999435347,0.8640522875816993
0.15,42,7,0.7071428571428571,0.6993109354413702,0.9320261437908496
0.15,42,9,0.7357142857142858,0.7194711086015435,0.9431372549019608
0.15,42,11,0.6928571428571428,0.6868571428571428,0.9313725490196078
0.15,123,3,0.7142857142857143,0.7113636363636363,0.9209150326797385
0.15,123,5,0.692857142857143,0.7016200679564524,0.8986928104575164
0.15,123,7,0.7,0.6969253065774805,0.9326797385620914
0.15,123,9,0.7071428571428572,0.6976190476190476,0.9549019607843137
0.15,123,11,0.6785714285714286,0.6766926406926407,0.9437908496732025
0.15,456,3,0.6642857142857144,0.6969001610305957,0.8678362573099415
0.15,456,5,0.7428571428571429,0.7481547438069178,0.923391812865497
0.15,456,7,0.75,0.7444415584415586,0.956140350877193
0.15,456,9,0.7214285714285715,0.7135203057811754,0.9666666666666666
0.15,456,11,0.6785714285714286,0.6820512820512821,0.9561403508771928
0.15,89,3,0.6928571428571428,0.6988296829029095,0.8580882352941176
0.15,89,5,0.6857142857142857,0.6846772068511198,0.8816176470588235
0.15,89,7,0.6857142857142857,0.6748682476943346,0.9169117647058822
0.15,89,9,0.7071428571428571,0.6901185770750987,0.9286764705882351
0.15,89,11,0.6928571428571428,0.6759907773386035,0.9404411764705882
0.15,36,3,0.7071428571428571,0.7144344544344544,0.8830065359477125
0.15,36,5,0.7142857142857143,0.7022868435911914,0.9411764705882353
0.15,36,7,0.75,0.7196209587513935,0.9764705882352942
0.15,36,9,0.7357142857142858,0.7046480186480187,0.9888888888888889
0.15,36,11,0.7,0.685925925925926,0.9653594771241831
0.15,95,3,0.65,0.6799999999999999,0.8274509803921569
0.15,95,5,0.6857142857142857,0.6848181818181818,0.9196078431372549
0.15,95,7,0.6928571428571428,0.6936926406926407,0.9202614379084967
0.15,95,9,0.6857142857142857,0.6766596736596736,0.9542483660130718
0.15,95,11,0.6857142857142857,0.6762619843924192,0.9549019607843139
0.15,70,3,0.6214285714285716,0.6484586466165414,0.7669117647058823
0.15,70,5,0.65,0.662044439161144,0.8294117647058823
0.15,70,7,0.6714285714285715,0.6741834824214686,0.8669117647058823
0.15,70,9,0.6642857142857144,0.6601298701298701,0.8911764705882353
0.15,70,11,0.6785714285714286,0.6614624505928853,0.9257352941176471
0.15,34,3,0.7071428571428571,0.7185227561657768,0.8441176470588235
0.15,34,5,0.6928571428571428,0.6980246069719753,0.8551470588235294
0.15,34,7,0.7,0.6906785243741765,0.9036764705882353
0.15,34,9,0.6642857142857143,0.6587142857142858,0.9154411764705882
0.15,34,11,0.6642857142857143,0.657887445887446,0.9154411764705882
0.15,74,3,0.6571428571428571,0.6792865497076024,0.8220588235294117
0.15,74,5,0.6714285714285715,0.6867017543859649,0.8338235294117646
0.15,74,7,0.6285714285714287,0.6489412761151891,0.8345588235294118
0.15,74,9,0.65,0.6502028985507247,0.9051470588235293
0.15,74,11,0.6785714285714286,0.6646980845241715,0.9404411764705882
0.2,42,3,0.6891737891737891,0.7080701754385965,0.8536764705882354
0.2,42,5,0.6886039886039886,0.6926794258373206,0.8889705882352942
0.2,42,7,0.7270655270655271,0.7184871269081796,0.9264705882352942
0.2,42,9,0.7196581196581195,0.7105575202829207,0.9272058823529411
0.2,42,11,0.7119658119658119,0.7040223203906069,0.9264705882352942
0.2,123,3,0.6814814814814815,0.7048708728342596,0.8551470588235294
0.2,123,5,0.6811965811965812,0.6954723765936581,0.8911764705882353
0.2,123,7,0.6589743589743591,0.6708571428571428,0.9029411764705882
0.2,123,9,0.6660968660968661,0.6731945080091533,0.9279411764705883
0.2,123,11,0.6284900284900284,0.6486060606060606,0.9036764705882353
0.2,456,3,0.6666666666666667,0.7108874458874459,0.8542483660130719
0.2,456,5,0.7122507122507123,0.7277536231884059,0.9215686274509803
0.2,456,7,0.7045584045584045,0.7096736596736596,0.9549019607843137
0.2,456,9,0.7196581196581195,0.7188620654707611,0.9660130718954247
0.2,456,11,0.6894586894586896,0.6937948717948719,0.9666666666666666
0.2,89,3,0.6814814814814815,0.702893642305407,0.8241666666666667
0.2,89,5,0.6749287749287749,0.6808270676691729,0.8616666666666667
0.2,89,7,0.6743589743589743,0.6704347826086956,0.8991666666666667
0.2,89,9,0.6820512820512821,0.6761365369946606,0.9116666666666667
0.2,89,11,0.6666666666666667,0.6596790890269151,0.9233333333333335
0.2,36,3,0.6974358974358974,0.7112643020594965,0.8779411764705882
0.2,36,5,0.7418803418803419,0.7298245614035086,0.9382352941176471
0.2,36,7,0.7119658119658119,0.7,0.9389705882352942
0.2,36,9,0.6968660968660969,0.6821904761904762,0.9639705882352942
0.2,36,11,0.6817663817663818,0.6732086753825884,0.9514705882352942
0.2,95,3,0.6287749287749287,0.667142857142857,0.8058823529411765
0.2,95,5,0.666096866096866,0.6829445154387945,0.8661764705882353
0.2,95,7,0.7031339031339032,0.6959683794466403,0.9382352941176471
0.2,95,9,0.666096866096866,0.6774079467443311,0.8904411764705882
0.2,95,11,0.6814814814814815,0.6874964090067065,0.9029411764705882
0.2,70,3,0.5905982905982906,0.6276023391812866,0.7266666666666667
0.2,70,5,0.6213675213675214,0.6342401458190932,0.8308333333333333
0.2,70,7,0.658974358974359,0.6545496151445809,0.8833333333333332
0.2,70,9,0.635897435897436,0.6388974412315374,0.8833333333333332
0.2,70,11,0.6361823361823362,0.6298550724637682,0.9216666666666666
0.2,34,3,0.7501424501424501,0.7408416875522139,0.8825
0.2,34,5,0.7045584045584046,0.6935832004253057,0.8825
0.2,34,7,0.6823361823361823,0.672070707070707,0.9091666666666669
