Test Size,Random State,N_Neighbors,Accuracy,Precision,Recall
0.15,42,3,0.6571428571428571,0.6805232448710709,0.8509803921568627
0.15,42,5,0.7071428571428572,0.7022774327122153,0.9202614379084967
0.15,42,7,0.6928571428571428,0.698944099378882,0.8849673202614378
0.15,42,9,0.6571428571428573,0.667262187088274,0.8973856209150327
0.15,42,11,0.6571428571428573,0.6611585081585082,0.9196078431372549
0.15,123,3,0.6785714285714286,0.7158940131076353,0.818954248366013
0.15,123,5,0.6928571428571428,0.7063795853269538,0.8875816993464053
0.15,123,7,0.6928571428571428,0.699715415019763,0.8986928104575164
0.15,123,9,0.6785714285714286,0.6886875443397182,0.8986928104575164
0.15,123,11,0.7071428571428571,0.7025308025308027,0.9320261437908497
0.15,456,3,0.6857142857142857,0.7220841959972395,0.8461988304093568
0.15,456,5,0.7285714285714286,0.7372906079427819,0.9122807017543859
0.15,456,7,0.7214285714285714,0.7235141267749963,0.9339181286549708
0.15,456,9,0.6714285714285715,0.6905242905242905,0.9122807017543859
0.15,456,11,0.6785714285714286,0.6888619528619528,0.9350877192982455
0.15,89,3,0.7071428571428572,0.7052255639097744,0.8816176470588235
0.15,89,5,0.7142857142857142,0.7073809523809524,0.8941176470588236
0.15,89,7,0.7214285714285715,0.7078181818181818,0.9176470588235294
0.15,89,9,0.7000000000000001,0.6875151515151514,0.9169117647058822
0.15,89,11,0.7071428571428571,0.6882424242424243,0.9411764705882353
0.15,36,3,0.7,0.7108205036863,0.8830065359477125
0.15,36,5,0.6928571428571428,0.6968841227422463,0.8947712418300654
0.15,36,7,0.6928571428571428,0.6961818181818182,0.8954248366013072
0.15,36,9,0.7285714285714286,0.7089968003011481,0.9529411764705882
0.15,36,11,0.7142857142857142,0.6939162286988373,0.9647058823529411
0.15,95,3,0.65,0.6717654808959156,0.8503267973856209
0.15,95,5,0.6714285714285715,0.6884434406173536,0.8620915032679738
0.15,95,7,0.6785714285714286,0.6821818181818181,0.9084967320261438
0.15,95,9,0.6714285714285715,0.6763530961791833,0.907843137254902
0.15,95,11,0.6857142857142857,0.6755687645687646,0.9542483660130718
0.15,70,3,0.6928571428571428,0.7115210932857992,0.8176470588235294
0.15,70,5,0.6928571428571428,0.6997076023391813,0.8536764705882354
0.15,70,7,0.6428571428571428,0.651993620414673,0.8419117647058822
0.15,70,9,0.6928571428571428,0.6820569209585228,0.9014705882352942
0.15,70,11,0.6785714285714286,0.6647694334650855,0.9147058823529411
0.15,34,3,0.6714285714285715,0.68131551384856,0.8558823529411764
0.15,34,5,0.6785714285714286,0.6803049932523616,0.8786764705882353
0.15,34,7,0.6642857142857144,0.6794706411579476,0.8419117647058822
0.15,34,9,0.6857142857142857,0.6754358974358974,0.9147058823529411
0.15,34,11,0.6928571428571428,0.6738317334839075,0.9514705882352942
0.15,74,3,0.6714285714285715,0.684120082815735,0.8455882352941175
0.15,74,5,0.6642857142857143,0.676451008945288,0.8455882352941175
0.15,74,7,0.6857142857142857,0.6849783549783549,0.8808823529411764
0.15,74,9,0.65,0.6551889757839415,0.8816176470588235
0.15,74,11,0.65,0.6565361471311129,0.8816176470588235
0.2,42,3,0.6658119658119658,0.6868421052631579,0.8529411764705882
0.2,42,5,0.711111111111111,0.7066666666666668,0.9132352941176471
0.2,42,7,0.7116809116809116,0.7196650717703349,0.8772058823529412
0.2,42,9,0.6509971509971508,0.6629399585921324,0.8897058823529411
0.2,42,11,0.6658119658119658,0.6748929240096289,0.9022058823529411
0.2,123,3,0.7045584045584046,0.7406349206349206,0.8191176470588235
0.2,123,5,0.6974358974358974,0.7091370020027982,0.8919117647058823
0.2,123,7,0.6515669515669515,0.6779095300834431,0.8558823529411764
0.2,123,9,0.6666666666666666,0.6835592769803296,0.8801470588235294
0.2,123,11,0.6586894586894586,0.6740478468899522,0.8911764705882353
0.2,456,3,0.7054131054131054,0.7402597402597403,0.8653594771241829
0.2,456,5,0.7282051282051283,0.7439299830604178,0.9104575163398694
0.2,456,7,0.7125356125356126,0.7188353096179183,0.9437908496732026
0.2,456,9,0.6974358974358974,0.7073809523809524,0.9444444444444443
0.2,456,11,0.6974358974358974,0.7064545454545454,0.9444444444444443
0.2,89,3,0.6971509971509972,0.7091193670450636,0.8375
0.2,89,5,0.69002849002849,0.7007125603864734,0.8608333333333335
0.2,89,7,0.6894586894586895,0.6937267410951622,0.8741666666666668
0.2,89,9,0.6743589743589744,0.6675362318840579,0.9116666666666667
0.2,89,11,0.6586894586894586,0.6499696969696969,0.9375
0.2,36,3,0.7045584045584046,0.7238850750063565,0.8522058823529411
0.2,36,5,0.6971509971509972,0.714047619047619,0.8639705882352942
0.2,36,7,0.6900284900284901,0.6957936507936509,0.8897058823529411
0.2,36,9,0.7196581196581195,0.7089480618542404,0.9382352941176471
0.2,36,11,0.71994301994302,0.7057142857142856,0.9507352941176471
0.2,95,3,0.6962962962962962,0.7052039188881294,0.8779411764705882
0.2,95,5,0.7116809116809115,0.7116450216450216,0.9022058823529411
0.2,95,7,0.7116809116809116,0.6976708074534161,0.9507352941176471
0.2,95,9,0.6737891737891738,0.675494071146245,0.9147058823529411
0.2,95,11,0.6962962962962962,0.6848861283643892,0.9514705882352942
0.2,70,3,0.666096866096866,0.675204678362573,0.8316666666666667
0.2,70,5,0.6806267806267806,0.6735087719298246,0.8816666666666666
0.2,70,7,0.5971509971509971,0.6144155844155843,0.8291666666666666
0.2,70,9,0.6435897435897436,0.6390927912667043,0.8958333333333334
0.2,70,11,0.6438746438746439,0.6315170336909468,0.9349999999999999
0.2,34,3,0.6968660968660968,0.7000424412189118,0.8574999999999999
0.2,34,5,0.6971509971509972,0.6940856777493607,0.8825
0.2,34,7,0.6897435897435896,0.6877525252525253,0.8699999999999999
0.2,34,9,0.6968660968660969,0.6832057416267941,0.8966666666666667
0.2,34,11,0.6965811965811965,0.6742032947982604,0.9349999999999999
0.2,74,3,0.6965811965811965,0.7202614379084967,0.8397058823529411
0.2,74,5,0.6811965811965812,0.697843137254902,0.8514705882352942
0.2,74,7,0.711111111111111,0.7114376851218955,0.8875
0.2,74,9,0.6811965811965812,0.6802024824908119,0.9
0.2,74,11,0.7042735042735042,0.6954325867369345,0.925
0.25,42,3,0.7226666666666668,0.7381349206349206,0.8833333333333334
0.25,42,5,0.7060000000000001,0.7110655426444901,0.9083333333333334
0.25,42,7,0.6986666666666667,0.707843137254902,0.8966666666666667
0.25,42,9,0.6663333333333333,0.6813496307613954,0.8833333333333334
0.25,42,11,0.6826666666666668,0.6909090909090908,0.9091666666666667
0.25,123,3,0.6823333333333333,0.7208587592168827,0.8333333333333333
0.25,123,5,0.6913333333333334,0.7146040292547224,0.8724999999999999
0.25,123,7,0.6503333333333333,0.679111111111111,0.8724999999999999
0.25,123,9,0.6663333333333333,0.6819074960127591,0.9108333333333334
0.25,123,11,0.6583333333333333,0.6740606060606059,0.9099999999999999
0.25,456,3,0.7076666666666667,0.752046783625731,0.8573529411764707
0.25,456,5,0.7236666666666667,0.7415675552517658,0.9161764705882354
0.25,456,7,0.7156666666666667,0.7291304347826086,0.9279411764705883
0.25,456,9,0.7076666666666667,0.7181996988518728,0.9397058823529412
0.25,456,11,0.7153333333333334,0.7175230566534914,0.9639705882352942
0.25,89,3,0.6926666666666665,0.7057275541795666,0.8219047619047618
0.25,89,5,0.651,0.6694976076555024,0.8219047619047618
0.25,89,7,0.6593333333333333,0.6642724458204334,0.8495238095238096
0.25,89,9,0.635,0.6372461456671983,0.8771428571428572
0.25,89,11,0.667,0.6548970251716246,0.9180952380952381
0.25,36,3,0.683,0.713456937799043,0.8616666666666667
0.25,36,5,0.6833333333333333,0.6970221007063112,0.8991666666666667
0.25,36,7,0.6993333333333334,0.7007142857142856,0.9375
0.25,36,9,0.6993333333333334,0.6994824016563147,0.9375
0.25,36,11,0.6993333333333334,0.6959288537549406,0.95
0.25,95,3,0.6743333333333333,0.6902255639097745,0.885
0.25,95,5,0.6743333333333335,0.6860127591706539,0.8975
0.25,95,7,0.6826666666666668,0.6947368421052632,0.8983333333333334
0.25,95,9,0.6823333333333335,0.6863636363636363,0.9233333333333335
0.25,95,11,0.6903333333333334,0.6864953886693017,0.9491666666666667
0.25,70,3,0.6336666666666666,0.6576190476190475,0.8047619047619048
0.25,70,5,0.6496666666666667,0.6544903926482875,0.8590476190476191
0.25,70,7,0.6423333333333334,0.6450672134882661,0.8742857142857142
0.25,70,9,0.6753333333333333,0.6635519959318587,0.9161904761904763
0.25,70,11,0.618,0.6196103896103896,0.9028571428571428
0.25,34,3,0.6990000000000001,0.704342105263158,0.8628571428571428
0.25,34,5,0.6916666666666667,0.6941176470588235,0.8771428571428572
0.25,34,7,0.6990000000000001,0.7055555555555555,0.8638095238095238
0.25,34,9,0.6913333333333334,0.6835087719298245,0.9057142857142859
0.25,34,11,0.7150000000000001,0.6910047846889952,0.96
0.25,74,3,0.667,0.6903508771929825,0.8266666666666665
0.25,74,5,0.6506666666666667,0.6747619047619048,0.8533333333333335
0.25,74,7,0.7153333333333334,0.7161487050960735,0.8933333333333333
0.25,74,9,0.6826666666666666,0.6790552584670231,0.9200000000000002
0.25,74,11,0.675,0.6668150613688371,0.9466666666666667
0.3,42,3,0.6869565217391305,0.72359477124183,0.8504761904761905
0.3,42,5,0.6956521739130435,0.7180604698019558,0.8771428571428572
0.3,42,7,0.7043478260869566,0.7186790505675955,0.8914285714285712
0.3,42,9,0.6782608695652174,0.7083193277310925,0.8647619047619047
0.3,42,11,0.6869565217391304,0.7042067736185385,0.9047619047619048
0.3,123,3,0.7217391304347827,0.7381527347781218,0.878095238095238
0.3,123,5,0.7217391304347825,0.7336429308565531,0.8933333333333333
0.3,123,7,0.6869565217391304,0.7038168951791243,0.8923809523809524
0.3,123,9,0.6956521739130435,0.7009857978279032,0.9180952380952381
0.3,123,11,0.6608695652173913,0.6768421052631579,0.9057142857142857
0.3,456,3,0.7391304347826086,0.7868606281918976,0.8616666666666667
0.3,456,5,0.7304347826086957,0.7623391812865498,0.8858333333333335
0.3,456,7,0.7565217391304347,0.7629662391272298,0.9366666666666668
0.3,456,9,0.7043478260869565,0.7216693248272195,0.9225
0.3,456,11,0.7304347826086957,0.7319191919191921,0.9616666666666667
0.3,89,3,0.6956521739130435,0.7103733031674209,0.8076923076923077
0.3,89,5,0.6260869565217391,0.6382567939456484,0.8373626373626373
0.3,89,7,0.6434782608695653,0.6452700378396973,0.8670329670329672
0.3,89,9,0.6521739130434783,0.6389473684210527,0.9241758241758242
0.3,89,11,0.6521739130434783,0.6362147793726741,0.9549450549450549
0.3,36,3,0.6956521739130433,0.7245044876004629,0.8790476190476191
0.3,36,5,0.7043478260869565,0.7141742502423617,0.9190476190476191
0.3,36,7,0.7304347826086957,0.7243397496298292,0.96
0.3,36,9,0.7391304347826086,0.7198594311866623,0.9866666666666667
0.3,36,11,0.7304347826086957,0.7156854256854257,0.9733333333333334
0.3,95,3,0.6695652173913045,0.676078431372549,0.8857142857142858
0.3,95,5,0.6782608695652174,0.6855555555555555,0.8857142857142856
0.3,95,7,0.6695652173913043,0.6693650793650794,0.9142857142857143
0.3,95,9,0.6695652173913043,0.6670175438596491,0.9295238095238096
0.3,95,11,0.6695652173913043,0.6673327704287456,0.9438095238095239
0.3,70,3,0.6695652173913043,0.6824276377217553,0.8362637362637362
0.3,70,5,0.6608695652173913,0.6677661064425771,0.8648351648351648
0.3,70,7,0.6608695652173914,0.6612211902304781,0.8813186813186814
0.3,70,9,0.6782608695652174,0.6734365325077399,0.9120879120879121
