Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall
0.15,42,0.1,l1,liblinear,,0.6857142857142857,0.7563111398405515,0.7366013071895424
0.15,42,0.1,l1,liblinear,balanced,0.6785714285714286,0.7881948933419521,0.6549019607843137
0.15,42,0.1,l2,liblinear,,0.75,0.7936764705882353,0.8045751633986928
0.15,42,0.1,l2,liblinear,balanced,0.7142857142857143,0.796502795450164,0.7235294117647059
0.15,42,1.0,l1,liblinear,,0.75,0.7974060150375939,0.8045751633986928
0.15,42,1.0,l1,liblinear,balanced,0.7428571428571429,0.8148872180451129,0.7588235294117647
0.15,42,1.0,l2,liblinear,,0.7285714285714286,0.7810737628384687,0.7810457516339869
0.15,42,1.0,l2,liblinear,balanced,0.7214285714285714,0.7838888888888889,0.7581699346405228
0.15,42,10.0,l1,liblinear,,0.6928571428571428,0.7669467787114845,0.7222222222222222
0.15,42,10.0,l1,liblinear,balanced,0.6857142857142857,0.7654761904761904,0.711111111111111
0.15,42,10.0,l2,liblinear,,0.6857142857142857,0.7537721755368814,0.734640522875817
0.15,42,10.0,l2,liblinear,balanced,0.7,0.7804007756948933,0.7228758169934641
0.15,42,100.0,l1,liblinear,,0.6928571428571428,0.7833746319040437,0.7
0.15,42,100.0,l1,liblinear,balanced,0.6928571428571428,0.7833746319040437,0.7
0.15,42,100.0,l2,liblinear,,0.7142857142857142,0.7973280202769366,0.7228758169934641
0.15,42,100.0,l2,liblinear,balanced,0.7142857142857142,0.7973280202769366,0.7228758169934641
0.15,42,1000.0,l1,liblinear,,0.6857142857142857,0.7730805142569848,0.7
0.15,42,1000.0,l1,liblinear,balanced,0.6857142857142857,0.7730805142569848,0.7
0.15,42,1000.0,l2,liblinear,,0.7142857142857143,0.7987145748987854,0.7235294117647059
0.15,42,1000.0,l2,liblinear,balanced,0.7142857142857143,0.7987145748987854,0.7235294117647059
0.15,123,0.1,l1,liblinear,,0.6571428571428571,0.7168565799525553,0.7503267973856209
0.15,123,0.1,l1,liblinear,balanced,0.6142857142857143,0.7329023917259212,0.6130718954248365
0.15,123,0.1,l2,liblinear,,0.6714285714285715,0.756517094017094,0.7039215686274509
0.15,123,0.1,l2,liblinear,balanced,0.6571428571428571,0.7901820728291316,0.634640522875817
0.15,123,1.0,l1,liblinear,,0.7071428571428571,0.7972222222222222,0.7267973856209149
0.15,123,1.0,l1,liblinear,balanced,0.6928571428571428,0.804282095613365,0.6816993464052288
0.15,123,1.0,l2,liblinear,,0.6928571428571428,0.7673099415204678,0.7372549019607842
0.15,123,1.0,l2,liblinear,balanced,0.6642857142857143,0.7580555555555556,0.692156862745098
0.15,123,10.0,l1,liblinear,,0.6571428571428571,0.7394582704876822,0.7032679738562091
0.15,123,10.0,l1,liblinear,balanced,0.6714285714285715,0.7651604278074867,0.6915032679738562
0.15,123,10.0,l2,liblinear,,0.6642857142857143,0.7435674748368246,0.7137254901960784
0.15,123,10.0,l2,liblinear,balanced,0.6642857142857144,0.7513719124013242,0.7026143790849674
0.15,123,100.0,l1,liblinear,,0.6714285714285715,0.7616666666666667,0.6908496732026144
