Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall
0.15,42,0.1,l1,liblinear,,0.7071428571428571,0.7946719457013575,0.7137254901960784
0.15,42,0.1,l1,liblinear,balanced,0.7,0.8491666666666667,0.6326797385620915
0.15,42,0.1,l2,liblinear,,0.7071428571428573,0.7567105263157895,0.7823529411764706
0.15,42,0.1,l2,liblinear,balanced,0.7142857142857142,0.7807017543859649,0.7588235294117648
0.15,42,1.0,l1,liblinear,,0.7285714285714286,0.7773649810801513,0.7928104575163398
0.15,42,1.0,l1,liblinear,balanced,0.7214285714285715,0.7849673202614379,0.757516339869281
0.15,42,1.0,l2,liblinear,,0.7071428571428572,0.7508943928448573,0.7921568627450981
0.15,42,1.0,l2,liblinear,balanced,0.7142857142857142,0.7875490196078431,0.7470588235294118
0.15,42,10.0,l1,liblinear,,0.6642857142857143,0.7371078431372549,0.7117647058823529
0.15,42,10.0,l1,liblinear,balanced,0.6642857142857143,0.7371078431372549,0.7117647058823529
0.15,42,10.0,l2,liblinear,,0.6928571428571428,0.7620915032679738,0.7352941176470588
0.15,42,10.0,l2,liblinear,balanced,0.6857142857142857,0.7588235294117647,0.7235294117647059
0.15,42,100.0,l1,liblinear,,0.6642857142857144,0.7316004471964225,0.7241830065359477
0.15,42,100.0,l1,liblinear,balanced,0.6642857142857144,0.7316004471964225,0.7241830065359477
0.15,42,100.0,l2,liblinear,,0.65,0.7240712074303406,0.7
0.15,42,100.0,l2,liblinear,balanced,0.6428571428571429,0.7217320261437908,0.6888888888888889
0.15,42,1000.0,l1,liblinear,,0.6642857142857144,0.7385448916408669,0.7124183006535947
0.15,42,1000.0,l1,liblinear,balanced,0.6642857142857144,0.7385448916408669,0.7124183006535947
0.15,42,1000.0,l2,liblinear,,0.65,0.7260448916408669,0.7006535947712418
0.15,42,1000.0,l2,liblinear,balanced,0.65,0.7260448916408669,0.7006535947712418
0.15,123,0.1,l1,liblinear,,0.6714285714285715,0.7347854931446263,0.7366013071895425
