Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall,Specificity
0.15,42,0.1,l1,liblinear,,0.52,0.6,0.6,0.4
0.15,42,0.1,l1,liblinear,balanced,0.44,0.5454545454545454,0.4,0.5
0.15,42,0.1,l2,liblinear,,0.68,0.7692307692307693,0.6666666666666666,0.7
0.15,42,0.1,l2,liblinear,balanced,0.64,0.8,0.5333333333333333,0.8
0.15,42,1.0,l1,liblinear,,0.72,0.7857142857142857,0.7333333333333333,0.7
0.15,42,1.0,l1,liblinear,balanced,0.64,0.75,0.6,0.7
0.15,42,1.0,l2,liblinear,,0.72,0.7857142857142857,0.7333333333333333,0.7
0.15,42,1.0,l2,liblinear,balanced,0.64,0.75,0.6,0.7
0.15,42,10.0,l1,liblinear,,0.72,0.7857142857142857,0.7333333333333333,0.7
0.15,42,10.0,l1,liblinear,balanced,0.72,0.7857142857142857,0.7333333333333333,0.7
0.15,42,10.0,l2,liblinear,,0.72,0.7857142857142857,0.7333333333333333,0.7
0.15,42,10.0,l2,liblinear,balanced,0.72,0.7857142857142857,0.7333333333333333,0.7
0.15,42,100.0,l1,liblinear,,0.72,0.7857142857142857,0.7333333333333333,0.7
0.15,42,100.0,l1,liblinear,balanced,0.68,0.7692307692307693,0.6666666666666666,0.7
0.15,42,100.0,l2,liblinear,,0.72,0.7857142857142857,0.7333333333333333,0.7
0.15,42,100.0,l2,liblinear,balanced,0.68,0.7692307692307693,0.6666666666666666,0.7
0.15,42,1000.0,l1,liblinear,,0.72,0.7857142857142857,0.7333333333333333,0.7
0.15,42,1000.0,l1,liblinear,balanced,0.68,0.7692307692307693,0.6666666666666666,0.7
0.15,42,1000.0,l2,liblinear,,0.72,0.7857142857142857,0.7333333333333333,0.7
0.15,42,1000.0,l2,liblinear,balanced,0.68,0.7692307692307693,0.6666666666666666,0.7
0.15,123,0.1,l1,liblinear,,0.64,0.631578947368421,0.8571428571428571,0.36363636363636365
0.15,123,0.1,l1,liblinear,balanced,0.68,0.6875,0.7857142857142857,0.5454545454545454
0.15,123,0.1,l2,liblinear,,0.52,0.5625,0.6428571428571429,0.36363636363636365
0.15,123,0.1,l2,liblinear,balanced,0.6,0.6428571428571429,0.6428571428571429,0.5454545454545454
0.15,123,1.0,l1,liblinear,,0.48,0.5384615384615384,0.5,0.45454545454545453
0.15,123,1.0,l1,liblinear,balanced,0.48,0.5384615384615384,0.5,0.45454545454545453
0.15,123,1.0,l2,liblinear,,0.52,0.5714285714285714,0.5714285714285714,0.45454545454545453
0.15,123,1.0,l2,liblinear,balanced,0.52,0.5714285714285714,0.5714285714285714,0.45454545454545453
0.15,123,10.0,l1,liblinear,,0.56,0.6153846153846154,0.5714285714285714,0.5454545454545454
0.15,123,10.0,l1,liblinear,balanced,0.56,0.6153846153846154,0.5714285714285714,0.5454545454545454
0.15,123,10.0,l2,liblinear,,0.56,0.6153846153846154,0.5714285714285714,0.5454545454545454
0.15,123,10.0,l2,liblinear,balanced,0.56,0.6153846153846154,0.5714285714285714,0.5454545454545454
0.15,123,100.0,l1,liblinear,,0.56,0.6153846153846154,0.5714285714285714,0.5454545454545454
0.15,123,100.0,l1,liblinear,balanced,0.56,0.6153846153846154,0.5714285714285714,0.5454545454545454
0.15,123,100.0,l2,liblinear,,0.56,0.6153846153846154,0.5714285714285714,0.5454545454545454
0.15,123,100.0,l2,liblinear,balanced,0.56,0.6153846153846154,0.5714285714285714,0.5454545454545454
0.15,123,1000.0,l1,liblinear,,0.56,0.6153846153846154,0.5714285714285714,0.5454545454545454
0.15,123,1000.0,l1,liblinear,balanced,0.56,0.6153846153846154,0.5714285714285714,0.5454545454545454
0.15,123,1000.0,l2,liblinear,,0.56,0.6153846153846154,0.5714285714285714,0.5454545454545454
0.15,123,1000.0,l2,liblinear,balanced,0.56,0.6153846153846154,0.5714285714285714,0.5454545454545454
0.15,456,0.1,l1,liblinear,,0.56,0.47619047619047616,1.0,0.26666666666666666
0.15,456,0.1,l1,liblinear,balanced,0.76,0.6666666666666666,0.8,0.7333333333333333
0.15,456,0.1,l2,liblinear,,0.6,0.5,0.8,0.4666666666666667
0.15,456,0.1,l2,liblinear,balanced,0.68,0.5833333333333334,0.7,0.6666666666666666
0.15,456,1.0,l1,liblinear,,0.64,0.5384615384615384,0.7,0.6
0.15,456,1.0,l1,liblinear,balanced,0.68,0.5833333333333334,0.7,0.6666666666666666
0.15,456,1.0,l2,liblinear,,0.64,0.5384615384615384,0.7,0.6
0.15,456,1.0,l2,liblinear,balanced,0.64,0.5384615384615384,0.7,0.6
0.15,456,10.0,l1,liblinear,,0.6,0.5,0.6,0.6
0.15,456,10.0,l1,liblinear,balanced,0.56,0.45454545454545453,0.5,0.6
0.15,456,10.0,l2,liblinear,,0.6,0.5,0.6,0.6
0.15,456,10.0,l2,liblinear,balanced,0.56,0.45454545454545453,0.5,0.6
0.15,456,100.0,l1,liblinear,,0.52,0.4,0.4,0.6
0.15,456,100.0,l1,liblinear,balanced,0.52,0.4,0.4,0.6
0.15,456,100.0,l2,liblinear,,0.56,0.45454545454545453,0.5,0.6
0.15,456,100.0,l2,liblinear,balanced,0.56,0.45454545454545453,0.5,0.6
0.15,456,1000.0,l1,liblinear,,0.52,0.4,0.4,0.6
0.15,456,1000.0,l1,liblinear,balanced,0.52,0.4,0.4,0.6
0.15,456,1000.0,l2,liblinear,,0.52,0.4,0.4,0.6
0.15,456,1000.0,l2,liblinear,balanced,0.52,0.4,0.4,0.6
0.15,89,0.1,l1,liblinear,,0.48,0.6923076923076923,0.5,0.42857142857142855
