Test Size,Random State,N_Estimators,Class Weight,Accuracy,Precision,Recall
0.15,42,10,,0.7214285714285715,0.808578431372549,0.7241830065359478
0.15,42,10,balanced,0.7,0.7529411764705882,0.7718954248366013
0.15,42,50,,0.6928571428571428,0.7395498550297311,0.7823529411764706
0.15,42,50,balanced,0.6928571428571428,0.7325785050862451,0.7928104575163399
0.15,42,100,,0.6714285714285715,0.7159550837879011,0.7823529411764706
0.15,42,100,balanced,0.6785714285714286,0.7143655037772685,0.8052287581699347
0.15,42,200,,0.6785714285714286,0.7109250398724083,0.8156862745098039
0.15,42,200,balanced,0.7285714285714285,0.7420185758513933,0.8601307189542483
0.15,42,500,,0.6928571428571428,0.7240336134453782,0.8156862745098039
0.15,42,500,balanced,0.7214285714285714,0.739921059332824,0.8503267973856209
0.15,123,10,,0.6642857142857143,0.7272268907563025,0.7607843137254903
0.15,123,10,balanced,0.6214285714285713,0.6942667274246221,0.726797385620915
0.15,123,50,,0.7142857142857142,0.7386519658830871,0.8522875816993464
0.15,123,50,balanced,0.6928571428571428,0.7174603174603174,0.85359477124183
0.15,123,100,,0.7071428571428571,0.7355464748828593,0.8418300653594771
0.15,123,100,balanced,0.6928571428571428,0.7212280701754386,0.8418300653594771
0.15,123,200,,0.7214285714285715,0.7361780538302278,0.8869281045751635
0.15,123,200,balanced,0.7,0.7196969696969696,0.8640522875816993
0.15,123,500,,0.7071428571428571,0.7325878926565424,0.8529411764705882
0.15,123,500,balanced,0.7071428571428571,0.724639325586694,0.8758169934640524
0.15,456,10,,0.6714285714285715,0.7546659137963485,0.7479532163742691
0.15,456,10,balanced,0.7,0.7569444444444444,0.8023391812865498
0.15,456,50,,0.7285714285714284,0.7630114812723509,0.8573099415204679
0.15,456,50,balanced,0.6928571428571428,0.7207561327561327,0.8678362573099415
0.15,456,100,,0.75,0.774997647280256,0.87953216374269
0.15,456,100,balanced,0.7214285714285713,0.7388705855547961,0.8900584795321638
0.15,456,200,,0.7571428571428571,0.779462915601023,0.87953216374269
0.15,456,200,balanced,0.7357142857142858,0.7387351778656127,0.923391812865497
0.15,456,500,,0.7285714285714286,0.7453996486605183,0.8906432748538011
0.15,456,500,balanced,0.7142857142857142,0.7205238095238096,0.923391812865497
0.15,89,10,,0.6857142857142857,0.7628366731307907,0.7022058823529412
0.15,89,10,balanced,0.6928571428571428,0.761078431372549,0.7139705882352942
0.15,89,50,,0.7571428571428572,0.767375300997592,0.8573529411764707
0.15,89,50,balanced,0.7571428571428571,0.7742857142857142,0.8573529411764707
0.15,89,100,,0.7428571428571428,0.745103668261563,0.8705882352941178
0.15,89,100,balanced,0.7571428571428571,0.7580846831486218,0.8823529411764707
0.15,89,200,,0.7499999999999999,0.7553946246690896,0.8705882352941178
0.15,89,200,balanced,0.75,0.7544082125603865,0.8705882352941178
0.15,89,500,,0.75,0.7542181540808544,0.8705882352941178
0.15,89,500,balanced,0.7357142857142857,0.7297478991596639,0.8941176470588236
0.2,42,10,,0.7347578347578347,0.7907539682539684,0.7808823529411765
0.2,42,10,balanced,0.7264957264957265,0.7924463118580766,0.7676470588235293
0.2,42,50,,0.6886039886039885,0.7318713450292398,0.7919117647058823
0.2,42,50,balanced,0.6806267806267806,0.7056022408963585,0.8272058823529411
0.2,42,100,,0.719088319088319,0.7464519140989729,0.8419117647058822
0.2,42,100,balanced,0.6886039886039885,0.7157963536291709,0.8286764705882353
0.2,42,200,,0.7185185185185186,0.7431062951496388,0.8404411764705882
0.2,42,200,balanced,0.7262108262108262,0.7478947368421052,0.8529411764705882
0.2,42,500,,0.7264957264957265,0.7453216374269006,0.8529411764705882
0.2,42,500,balanced,0.7262108262108262,0.7452631578947368,0.8522058823529411
0.2,123,10,,0.6823361823361823,0.733968253968254,0.7860294117647059
0.2,123,10,balanced,0.7116809116809116,0.7555555555555555,0.7948529411764705
0.2,123,50,,0.7415954415954416,0.7502756892230578,0.8926470588235293
0.2,123,50,balanced,0.6957264957264957,0.7172278522392939,0.8683823529411765
0.2,123,100,,0.7185185185185186,0.7356979405034325,0.8801470588235294
0.2,123,100,balanced,0.7105413105413105,0.7256812320656714,0.8794117647058822
0.2,123,200,,0.688034188034188,0.7141148325358851,0.8551470588235294
0.2,123,200,balanced,0.7113960113960114,0.7313119755911519,0.8691176470588236
0.2,123,500,,0.6883190883190883,0.7163439347030678,0.8426470588235293
0.2,123,500,balanced,0.6806267806267806,0.7085049580472921,0.8433823529411765
0.2,456,10,,0.7282051282051282,0.7691304347826087,0.8549019607843139
0.2,456,10,balanced,0.7051282051282051,0.7391532190159192,0.8764705882352942
0.2,456,50,,0.7048433048433049,0.7365459102301207,0.8758169934640524
0.2,456,50,balanced,0.7116809116809117,0.7369047619047618,0.8986928104575164
0.2,456,100,,0.7125356125356126,0.7401298701298701,0.8869281045751635
0.2,456,100,balanced,0.7119658119658119,0.7280114812723507,0.9209150326797386
0.2,456,200,,0.7048433048433048,0.73914172783738,0.8758169934640524
0.2,456,200,balanced,0.7495726495726496,0.7526086956521738,0.9431372549019608
0.2,456,500,,0.7276353276353277,0.7537309182046024,0.8986928104575164
0.2,456,500,balanced,0.7270655270655271,0.7344545454545455,0.9431372549019608
0.2,89,10,,0.735042735042735,0.7775000000000001,0.7849999999999999
0.2,89,10,balanced,0.6829059829059829,0.755540293040293,0.6983333333333334
0.2,89,50,,0.7202279202279201,0.7380687011646765,0.8366666666666667
0.2,89,50,balanced,0.658974358974359,0.7110651345558466,0.7474999999999999
0.2,89,100,,0.7279202279202279,0.7442105263157895,0.8491666666666667
0.2,89,100,balanced,0.743019943019943,0.7461698363555949,0.8741666666666668
0.2,89,200,,0.7048433048433049,0.7134468524251807,0.8491666666666667
0.2,89,200,balanced,0.7202279202279203,0.7175630252100842,0.8866666666666667
0.2,89,500,,0.71994301994302,0.72,0.8741666666666668
