Test Size,Random State,N_Estimators,Class Weight,Accuracy,Precision,Recall
0.15,42,10,,0.7714285714285715,0.865504773863907,0.7575163398692811
0.15,42,10,balanced,0.7357142857142857,0.8141176470588235,0.7346405228758169
0.15,42,50,,0.7285714285714286,0.7581704260651629,0.8274509803921569
0.15,42,50,balanced,0.7285714285714286,0.756672932330827,0.826797385620915
0.15,42,100,,0.7071428571428571,0.7471177944862155,0.8045751633986928
0.15,42,100,balanced,0.7357142857142858,0.7585779666557698,0.8496732026143791
0.15,42,200,,0.7214285714285715,0.7480952380952381,0.8392156862745098
0.15,42,200,balanced,0.7214285714285714,0.7461556064073227,0.8496732026143791
0.15,42,500,,0.7214285714285714,0.7560990712074304,0.8163398692810457
0.15,42,500,balanced,0.7357142857142858,0.7599791970043686,0.8496732026143791
0.15,123,10,,0.6428571428571429,0.730343137254902,0.6934640522875817
0.15,123,10,balanced,0.6428571428571429,0.7047353678313432,0.7366013071895425
0.15,123,50,,0.6857142857142857,0.7171717171717171,0.8294117647058824
0.15,123,50,balanced,0.65,0.6910279263220439,0.8058823529411765
0.15,123,100,,0.6714285714285715,0.714493620414673,0.807843137254902
0.15,123,100,balanced,0.6428571428571429,0.6811765018607124,0.8294117647058823
0.15,123,200,,0.6785714285714286,0.7164586658462011,0.819607843137255
0.15,123,200,balanced,0.6785714285714286,0.7006038647342995,0.8640522875816995
0.15,123,500,,0.6928571428571428,0.7221033479614715,0.8418300653594771
0.15,123,500,balanced,0.6785714285714286,0.7071592023537103,0.8411764705882352
0.15,456,10,,0.6785714285714286,0.760308379644764,0.7614035087719297
0.15,456,10,balanced,0.7142857142857142,0.7604558167487229,0.8245614035087719
0.15,456,50,,0.7071428571428573,0.7416097542696007,0.8584795321637426
0.15,456,50,balanced,0.7285714285714286,0.7445864521951477,0.9011695906432748
0.15,456,100,,0.7,0.730814882474729,0.8690058479532163
0.15,456,100,balanced,0.7357142857142855,0.7458299595141701,0.9116959064327486
0.15,456,200,,0.7357142857142858,0.7656291172595521,0.868421052631579
0.15,456,200,balanced,0.7500000000000001,0.7532650103519669,0.9228070175438596
0.15,456,500,,0.7285714285714285,0.7505082538944431,0.8906432748538012
0.15,456,500,balanced,0.7357142857142858,0.7400144927536232,0.9228070175438596
0.15,89,10,,0.7428571428571429,0.794920634920635,0.7757352941176471
0.15,89,10,balanced,0.7142857142857142,0.7625,0.763235294117647
0.15,89,50,,0.7357142857142858,0.7514137165163548,0.8470588235294118
0.15,89,50,balanced,0.7357142857142858,0.7440416549394877,0.8580882352941176
0.15,89,100,,0.7642857142857142,0.7809605001420858,0.8588235294117647
0.15,89,100,balanced,0.75,0.7512047381881815,0.8823529411764705
0.15,89,200,,0.7428571428571429,0.7478089162299688,0.8698529411764705
0.15,89,200,balanced,0.7428571428571429,0.7536004784688994,0.8580882352941176
0.15,89,500,,0.7428571428571429,0.7579348437939769,0.8463235294117647
0.15,89,500,balanced,0.7571428571428571,0.7579116239797354,0.8816176470588235
0.2,42,10,,0.7113960113960114,0.7665359477124183,0.7669117647058823
0.2,42,10,balanced,0.7196581196581195,0.801015406162465,0.7316176470588236
